Locality,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,change 2010-2020,Growth PA,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y
Parkdale,755000,755500,677000,760000,860000,965000,1100000,1300000,1245000,1157500,1200000,59,4.7,$320 ,$340 ,$350 ,$355 ,$360 ,$370 ,$380 ,$400 ,$420 ,$420 ,$435 
Parkville,1335000,1100000,1360000,1200000,1525000,1360500,2130000,2375000,2430000,1480000,1725000,29,2.6,$340 ,$340 ,$340 ,$346 ,$351 ,$361 ,$370 ,$395 ,$410 ,$440 ,$400 
Pascoe Vale,609000,575000,540000,580000,655000,720000,805000,891000,901000,855000,930000,53,4.3,$320 ,$340 ,$345 ,$340 ,$350 ,$350 ,$365 ,$390 ,$400 ,$420 ,$420 
Pascoe Vale South,655000,612500,627500,645500,701000,745000,840000,975000,955000,950000,1006000,54,4.4,$350 ,$360 ,$370 ,$375 ,$380 ,$390 ,$400 ,$418 ,$440 ,$450 ,$450 
Port Melbourne,1017500,915000,960000,995000,917500,1252500,1380000,1485000,1488000,1400000,1525000,50,4.1,$490 ,$515 ,$540 ,$530 ,$530 ,$540 ,$550 ,$570 ,$600 ,$600 ,$600 
Portsea,1387500,1625000,1398000,1195000,1305000,1800000,1701000,1925000,2180000,1950000,2515000,81,6.1,$265 ,$290 ,$290 ,$300 ,$310 ,$320 ,$340 ,$360 ,$375 ,$380 ,$390 
Prahran,940000,955000,932500,990000,1175000,1350000,1430000,1525000,1578000,1520000,1632500,74,5.7,$370 ,$390 ,$400 ,$380 ,$385 ,$400 ,$400 ,$410 ,$440 ,$440 ,$450 
Preston,615000,602000,580000,632500,690000,791000,882000,996000,980000,940000,1026000,67,5.3,$330 ,$350 ,$350 ,$355 ,$360 ,$370 ,$380 ,$395 ,$413 ,$430 ,$420 
Research,614500,657000,622500,605500,685000,686000,825500,950000,915000,937500,1179000,92,6.7,$340 ,$360 ,$360 ,$370 ,$370 ,$400 ,$400 ,$415 ,$440 ,$450 ,$450 
Reservoir,520000,500000,468500,510000,541000,615000,710000,812500,790000,754000,805000,55,4.5,$300 ,$310 ,$315 ,$320 ,$320 ,$330 ,$340 ,$350 ,$370 ,$380 ,$380 
Richmond,875500,825000,823000,900000,961000,1150000,1265000,1302500,1311000,1260000,1353500,55,4.5,$438 ,$450 ,$465 ,$475 ,$470 ,$475 ,$490 ,$500 ,$515 ,$530 ,$525 
Ringwood,553500,506000,503500,551000,660000,777500,837500,910500,896500,803000,900000,63,5.0,$310 ,$321 ,$335 ,$330 ,$345 ,$360 ,$365 ,$380 ,$390 ,$400 ,$410 
